INOCTETS,OUTOCTETS,INERRORS
1786255200:,-nan,-nan
1786257000:,-nan,-nan
1786258800:,-nan,-nan
1786260600:,-nan,-nan
1786262400:,-nan,-nan
1786264200:,-nan,-nan
1786266000:,-nan,-nan
1786267800:,-nan,-nan
1786269600:,-nan,-nan
1786271400:,-nan,-nan
1786273200:,-nan,-nan
1786275000:,-nan,-nan
1786276800:,-nan,-nan
1786278600:,-nan,-nan
1786280400:,-nan,-nan
1786282200:,-nan,-nan
1786284000:,-nan,-nan
1786285800:,-nan,-nan
1786287600:,-nan,-nan
1786289400:,-nan,-nan
1786291200:,-nan,-nan
1786293000:,-nan,-nan
1786294800:,-nan,-nan
1786296600:,-nan,-nan
1786298400:,-nan,-nan
1786300200:,-nan,-nan
1786302000:,-nan,-nan
1786303800:,-nan,-nan
1786305600:,-nan,-nan
1786307400:,-nan,-nan
1786309200:,-nan,-nan
1786311000:,-nan,-nan
1786312800:,-nan,-nan
1786314600:,-nan,-nan
1786316400:,-nan,-nan
1786318200:,-nan,-nan
1786320000:,-nan,-nan
1786321800:,-nan,-nan
1786323600:,-nan,-nan
1786325400:,-nan,-nan
1786327200:,-nan,-nan
1786329000:,-nan,-nan
1786330800:,-nan,-nan
1786332600:,-nan,-nan
1786334400:,-nan,-nan
1786336200:,-nan,-nan
1786338000:,-nan,-nan
1786339800:,-nan,-nan
1786341600:,-nan,-nan
1786343400:,-nan,-nan
1786345200:,-nan,-nan
1786347000:,-nan,-nan
1786348800:,-nan,-nan
1786350600:,-nan,-nan
1786352400:,-nan,-nan
1786354200:,-nan,-nan
1786356000:,-nan,-nan
1786357800:,-nan,-nan
1786359600:,-nan,-nan
1786361400:,-nan,-nan
1786363200:,-nan,-nan
1786365000:,-nan,-nan
1786366800:,-nan,-nan
1786368600:,-nan,-nan
1786370400:,-nan,-nan
1786372200:,-nan,-nan
1786374000:,-nan,-nan
1786375800:,-nan,-nan
1786377600:,-nan,-nan
1786379400:,-nan,-nan
1786381200:,-nan,-nan
1786383000:,-nan,-nan
1786384800:,-nan,-nan
1786386600:,-nan,-nan
